Criterion, Depth, Accuracy, Node Count, Real Depth
IG       ,     3, 100.0   ,          9,          3
IGR      ,     3, 100.0   ,          9,          3
IG       ,     3, 100.0   ,          9,          3
IG       ,     3,  96.6667,          9,          3
IGR      ,     3,  93.3333,          9,          3
IG       ,     3,  96.6667,          9,          3
IG       ,     3,  96.6667,          9,          3
IGR      ,     3,  96.6667,          9,          3
IG       ,     3,  96.6667,          9,          3
IG       ,     3,  93.3333,          9,          3
IGR      ,     3,  93.3333,          9,          3
IG       ,     3,  93.3333,          9,          3
IG       ,     3, 100.0   ,          9,          3
IGR      ,     3, 100.0   ,          9,          3
IG       ,     3, 100.0   ,          9,          3
IG       ,     3,  93.3333,          9,          3
IGR      ,     3,  93.3333,          9,          3
IG       ,     3,  93.3333,          9,          3
IG       ,     6,  90.0   ,          9,          3
IGR      ,     6,  90.0   ,         11,          4
IG       ,     6,  90.0   ,          9,          3
IG       ,     6,  93.3333,         13,          4
IGR      ,     6,  96.6667,         13,          5
IG       ,     6,  93.3333,         13,          4
IG       ,     6,  86.6667,          9,          3
IGR      ,     6,  86.6667,          9,          3
IG       ,     6,  86.6667,          9,          3
IG       ,     6,  90.0   ,         13,          5
IGR      ,     6,  90.0   ,         13,          6
IG       ,     6,  90.0   ,         13,          5
IG       ,     6,  86.6667,         11,          4
IGR      ,     6,  86.6667,         11,          4
IG       ,     6,  86.6667,         11,          4
IG       ,     6,  90.0   ,          9,          4
IGR      ,     6,  90.0   ,          9,          4
IG       ,     6,  90.0   ,          9,          4
IG       ,     9,  96.6667,         15,          5
IGR      ,     9,  93.3333,         15,          5
IG       ,     9,  96.6667,         15,          5
IG       ,     9,  96.6667,         11,          4
IGR      ,     9,  96.6667,         13,          5
IG       ,     9,  96.6667,         11,          4
IG       ,     9,  93.3333,         11,          4
IGR      ,     9,  93.3333,         11,          4
IG       ,     9,  93.3333,         11,          4
IG       ,     9,  86.6667,          9,          3
IGR      ,     9,  90.0   ,         11,          4
IG       ,     9,  86.6667,          9,          3
IG       ,     9,  93.3333,         11,          4
IGR      ,     9,  96.6667,         11,          4
IG       ,     9,  93.3333,         11,          4
IG       ,     9,  96.6667,         11,          4
IGR      ,     9,  96.6667,         11,          4
IG       ,     9,  96.6667,         11,          4
IG       ,     9,  96.6667,         11,          4
IGR      ,     9,  96.6667,         11,          4
IG       ,     9,  96.6667,         11,          4
IG       ,     9,  90.0   ,         13,          5
IGR      ,     9,  90.0   ,         13,          6
IG       ,     9,  90.0   ,         13,          5
